B	PERFORMING OPERATIONS; TRANSPORTING
B01	PHYSICAL OR CHEMICAL PROCESSES OR APPARATUS IN GENERAL
B01B	BOILING; BOILING APPARATUS
B01B0001000000	Boiling; Boiling apparatus for physical or chemical purposes (preparation of starch C08B0030000000;sugar industry C13;steam generation F22;domestic boilers F24)
B01B0001020000	Preventing foaming (in general B01D0019020000)
B01B0001040000	by chemical means
B01B0001060000	Preventing bumping
B01B0001080000	Boiling apparatus provided with reflux condenser
B01D	SEPARATION (separating solids from solids by wet methods B03B, B03D, by pneumatic jigs or tables B03B, by other dry methods B07;magnetic or electrostatic separation of solid materials from solid materials or fluids, separation by high-voltage electric fields B03C;centrifuges B04B; vortex apparatus B04C;presses per se for squeezing-out liquid from liquid-containing material B30B0009020000)
B01D0001000000	Evaporating (drying solid materials or objects by evaporating liquids therefrom F26B)
B01D0001020000	Evaporators with heating coils
B01D0001040000	Evaporators with horizontal tubes
B01D0001060000	Evaporators with vertical tubes
B01D0001080000	with short tubes (B01D0001120000 takes precedence)
B01D0001100000	with long tubes, e.g. Kestner evaporators (B01D0001120000 takes precedence)
B01D0001120000	and forced circulation
B01D0001140000	with heated gases or vapours in contact with the liquid
B01D0001160000	by spraying (B01D0001220000 takes precedence)
B01D0001180000	to obtain dry solids (B01D0001240000 takes precedence)
B01D0001200000	Sprayers
B01D0001220000	by bringing a thin layer of the liquid into contact with a heated surface
B01D0001240000	to obtain dry solids
B01D0001260000	Multiple-effect evaporating
B01D0001280000	with vapour compression
B01D0001300000	Accessories for evaporators
B01D0003000000	Distillation or related exchange processes in which liquids are contacted with gaseous media, e.g. stripping
B01D0003020000	in boilers or stills
B01D0003040000	pipe stills
B01D0003060000	Flash distillation
B01D0003080000	in rotating vessels; Atomisation on rotating discs (B01D0003100000 takes precedence)
B01D0003100000	Vacuum distillation (B01D0003120000 takes precedence)
B01D0003120000	Molecular distillation
B01D0003140000	Fractional distillation
B01D0003160000	Fractionating columns in which vapour bubbles through liquid
B01D0003180000	with horizontal bubble plates
