,PCA Score,Abstract
0,0.5882448750988712,A method of producing an emulsion explosive which method comprises sparging with a gas a mixture of an aqueous solution of an oxygen-releasing salt and a water-immiscible fuel.
1,0.5172743487958524,"A W/O emulsion explosive composition having a high explosion energy especially in water, which comprises a continuous phase comprising a carbonaceous fuel component, a disperse phase comprising an aqueous solution of an inorganic oxoacid salt, an emulsifying agent, an organic foam retaining agent, and aluminum powder."
3,0.5041134717735097,This invention relates to novel salt compositions and to explosive compositions comprising said salt compositions. The salt compositions are useful as emulsifiers in the explosive compositions. The explosive compositions are water-in-oil emulsion explosives.
2,0.47149000701099875,"An explosive emulsion composition which includes two oxygen supplying salts and urea as a discontinuous phase, and a continuous water-immiscible organic phase which consists predominantly of iso-paraffinics oils and one or more emulsifying agents."
4,0.45450721808839034,"A water-in-oil emulsion explosive composition comprising an aqueous oxygen-supplying salt solution and anti-caking and stabilising agents as the discontinuous phase, and a continuous water-immiscible organic phase including an emulsifying agent, and an emulsifier selected from the group consisting of poly(isobutylene) succinic anhydride or poly(isobutylene) succinic acid which has been derivatised with amine or alkanolamine."
5,0.4208729448351276,"The application relates to processes for dismantling ammunition. The first aspect of the present application is a method for processing explosive waste to give a stable suspension or emulsion in an inert aqueous medium by adding organic and inorganic thickeners/emulsifiers, as well as subsequent incineration using an incinerator with a cooled injector tube. The second aspect of the present application is a method for removing explosives from ammunition wherein the explosive is flushed out of the ammunition with the aid of an inert liquid such as water under high pressure, preferably of about 1100 bar, using a high pressure spray head and an installation suitable for so removing explosives. The third aspect of the present application is a method for the production of blank ammunition wherein the charge chamber of a grenade body is filled with an inert mass consisting of a light (e.g. PUR-foam) component and a heavy (e.g. gravel) component."
6,0.4162238513451302,"A blasting explosive composition containing a solid inorganic oxidising salt as the oxidizer component, a hydrocarbon liquid as the fuel component, and a binding agent. The composition can also contain an ammonium nitrate based emulsion. The binding agent can increase the water resistance, or increase the sleep time, of the explosive composition, or increase the fuel oil absorbency of the solid inorganic oxidising salt. The binding agent is selected from one or more of a long chain carboxylic acid and its salts and derivatives, especially those having from 8 to 100 or preferably 10 to 50 carbon units. The binding agent may preferably be selected from one or more of: dimer acid, trimer acid, polyisobutylene succinic anhydride, oleic acid, stearic acid, sorbitan tristearate, and their salts and esters."
14,0.41613311332848457,"An emulsion explosive, formulated with a basic surfactant, which is sensitised by gassing with active sodium hypochlorite."
7,0.4159337738443347,Explosive compositions are disclosed herein. The compositions include a diesel fuel and a vacuum gas oil. Some compositions disclosed herein include an emulsion that includes an oxidizer in a discontinuous phase and a blend of diesel fuel and vacuum gas oil in a continuous phase. Methods of manufacturing explosive compositions are also disclosed herein.
9,0.3913222514747028,"Water-in-oil emulsion explosive compositions comprising a) an aqueous oxidizer phase comprising at least one oxygen supplying component wherein said oxygen supplying component comprises at least 50% by weight of prilled agricultural grade ammonium nitrate, b) an organic phase, comprising at least one organic fuel and c) an emulsifying amount of an aliphatic hydrocarbyl group substituted succinic emulsifier composition, said succinic emulsifier composition having at least one of succinic ester groups, succinic amide groups, succinic imine groups, succinic ester-amide and succinimide groups, and mixtures thereof, wherein each of said groups is substituted with an aminoalkyl group, wherein the aliphatic hydrocarbon based group contains from about 18 up to about 500 carbon atoms."
8,0.3778782937736205,"Disclosed is an explosive composition which is obtained by kneading a fuel component and an oxidant component by using an aqueous emulsion of a hydrophobic adhesive and then drying the kneaded material. The explosive composition exhibits high water resistance, good extrusion moldability and good cleanability from molding machines, while having only a few production problems. A molded body of this explosive composition is preferably applied to gas generants, auto igniters, enhancers and the like, and is particularly preferably used for a gas generator for activating an automobile safety system."
