,Frequency,Pnumber,Abstract
97,5.5555555555555545,CA166373S,"The design consists of the features of shape, ornament and configuration of a plastic bottle as shown in the accompanying drawings. Drawings of the design are included in which:Figure 1 is a top perspective view of a plastic bottle according to the present design;Figure 2 is a bottom perspective view of the plastic bottle of Figure 1;Figure 3 is a right side elevation view of the plastic bottle of Figure 1;Figure 4 is a left side elevation view of the plastic bottle of Figure 1;Figure 5 is a top plan view of the plastic bottle of Figure 1; andFigure 6 is a bottom plan view of the plastic bottle of Figure 1."
133,5.494505494505495,US2017157838A1,A method of welding at least two plastic components together is disclosed. The two plastic components are welded together at respective joining surfaces. The method comprises directing at least one infrared (IR) laser beam along the joining surfaces of the at least two plastic components. The IR laser beam heats the joining surfaces of the at least two plastic components to a welding temperature. The method also includes clamping the at least two plastic components together at the joining surfaces to create a weld.
35,5.2631578947368425,US2017164702A1,Products and methods for producing products which comprise polyethylene and inorganic minerals for a single layer plastic bag.
154,4.878048780487805,WO2017093821A1,"A multi-purpose module /container/ block comprising the hollow module /container/ block of mixed waste plastic, plastic type resins and related polymer filled with filling material such as road paving mixture or concrete or bitumen or asphalt or similar material."
57,4.545454545454546,WO2017096497A1,"A method for manufacturing cellulose acetate plastic sheet eyeglasses having metallic end pieces, comprising the steps of: S10, metallic end piece manufacturing; S20, plastic ring manufacturing: engraving a plastic ring and polishing same in a roller; S30, hinge welding: disposing the metallic end piece in a clamp of an automatic hinge welding machine, disposing the plastic ring in a mold of the automatic hinge welding machine, and implanting one end of the plastic ring into the metallic end piece; S30, engraving and notching; S40, polishing; and S50, eyeglasses assembling. The method for manufacturing cellulose acetate plastic sheet eyeglasses having metallic end pieces avoids screw slip, and the eyeglasses are sturdy and durable."
107,4.0650406504065035,US2017158248A1,"A plastic fender is provided for coping with thermal deformation. Additionally, an apparatus is provided which makes an effect of allowing the plastic fender to move to cope with thermal deformation, by integrally forming a bellows shape with a mounting portion of the plastic fender. The plastic fender includes a hood line portion, a bumper line portion, and a door line portion. Additionally, mounting portions are formed along an edge of each of the hood line portion, the bumper line portion, and the door line portion, respectively. The plastic fender includes a bellows-shaped portion that is formed on the mounting portions and is moveable to cope with the thermal deformation."
23,3.92156862745098,US2017165380A1,"Disclosed are compositions comprising a plastic polymer core, a shell surrounding the plastic polymer core, a ligand comprising a binding moiety, an enzyme capable of catalyzing the hydrolysis of a target compound, and a contrast agent, as well as methods of use of such compositions."
67,3.816793893129771,CA2968795A1,"The invention generally relates to a method of making a plastic aggregate, and its use to make concrete products. The aggregate is formed by providing a granulated waste plastic material, introducing the granulated waste plastic material into an extruder having a die, the die having a ratio of die nozzle open area to die land area of about 1:10 to about 1:40, and extruding the granulated waste plastic material through the extruder to generate an extruded plastic aggregate. The method can include the presence of controlled cooling, the addition of additives and treatment of the surface of the aggregate to produce a desired aggregate that can be used to make a concrete product with desired properties, such as compressive strength and weight."
19,3.816793893129771,AU2015352056A1,"The invention generally relates to a method of making a plastic aggregate, and its use to make concrete products. The aggregate is formed by providing a granulated waste plastic material, introducing the granulated waste plastic material into an extruder having a die, the die having a ratio of die nozzle open area to die land area of about 1:10 to about 1:40, and extruding the granulated waste plastic material through the extruder to generate an extruded plastic aggregate. The method can include the presence of controlled cooling, the addition of additives and treatment of the surface of the aggregate to produce a desired aggregate that can be used to make a concrete product with desired properties, such as compressive strength and weight."
145,3.816793893129771,WO2017094850A1,"The present invention addresses the problem of providing a sheet for a fiber reinforced plastic molded body and a prepress sheet for a fiber reinforced plastic molded body that can exhibit good moldability even when molding a molded body via deep-drawing molding or the like. The present invention pertains to a sheet for a fiber reinforced plastic molded body that contains a thermoplastic resin and reinforcing fibers derived from organic resources, wherein if the tensile strength in a first direction of the sheet for a fiber reinforced plastic molded body is taken as T, and the tensile strength in a second direction orthogonal to the first direction of the sheet for a fiber reinforced plastic molded body is taken as Y, T/Y is 0.4 to 2.5."
