,PCA Score,Pn,Title,Abstract,Date,Applicant,Inventor,IPC
204,0.08542160734108008,WO2009042480A1,PERFORATOR CHARGE WITH A CASE CONTAINING A REACTIVE MATERIAL,"A perforator charge includes a case formed of a material blend that includes a reactive material that is activated during explosive detonation of the perforator charge. An explosive and a liner are contained in the case, with the liner to collapse in response to detonation of the explosive.",20090402,SCHLUMBERGER CA LTD [CA],CAMINARI RICHARD T [US],F42B   3/    00            A I
15,0.06715392089304856,WO2017035337A1,EFP DETONATING CORD,"A perforating tool (100) includes an encapsulated shaped charge (10) that has a bulkhead (26) with a reduced wall thickness section (34), a plate (55) having a shallow recess, and a detonating cord (50) having an energetic core (52). The energetic core forms the plate into an explosively formed perforator when detonated. The plate is positioned to direct the explosively formed perforator into the reduced wall thickness section.",20170302,OWEN OIL TOOLS LP [US],GEERTS SHAUN M [US],E21B  43/  1185            A I;F42B   1/    02            A I;F42B   3/    08            A I;F42C  19/    09            A I
131,0.059582921702838756,WO2016132916A1,RETICULATE MOLDED RESIN ARTICLE,"This reticulate molded resin article (10) is used in order to enclose and protect a hollow tube member of a vehicle or small boat, and, in the case of being in the normal state in which no load is acting on the reticulate molded resin article (10), the reticulate molded resin article (10) comprises multiple first linear resin parts (11) which extend parallel to one another, and multiple second linear resin parts (12) which extend parallel to one another in a direction intersecting the first linear resin parts (11). The first linear resin parts (11) and the second linear resin parts (12) are alternately bonded in bond areas (13) where said parts intersect with each other. In an intersection, the orthographic projection direction P is defined as the direction which passes through the axial center of both the first linear resin part (11) and the second linear resin part (12) and is orthogonal to both axial centers. Observing the first linear resin part (11) and the second linear resin part (12) from the orthographic projection direction P, the second surface area, which is the area of the bond area (13) between the first linear resin parts (11) and the second linear resin parts (12), is less than the first surface area, which is the surface area of the overlap between the first linear resin part (11) and the second linear resin part (12). The first linear resin parts (11) and the second linear resin parts (12) are formed from a material that contains a thermosetting resin.",20160825,TOKYO PRINTING INK MFG CO LTD [JP],FUSHIMI ATSUSHI [JP],B29C  47/    30            A I;F16L  11/    02            A I
120,0.05134844111835994,WO2017109668A1,MAGNETIC STIRRER FOR FURNACE CONTAINING MOLTEN METAL AND FURNACE PROVIDED WITH SUCH A STIRRER,"A magnetic device (11) for a furnace (1) containing molten metal such as aluminum or the like, said furnace comprising a hollow body (2) with lateral walls (3) and a bottom wall (4), said furnace (1) being covered with refractory material and having a portion (6) thereof normally present on the bottom wall or in one of such walls (3, 4) which is made of metal permeable to the magnetic fields and covered with refractory layer, the device (11) acting as magnetic stirrer for the metal placed in the furnace being present at such wall portion (6), said device (11) being movable frontally and along such portion (6) permeable to the magnetic fields and comprising rotating magnetic field generator means adapted to generate a magnetic flux within the metal placed in the body of the furnace (1), said generator means (13) also preferably translating in front of said wall portion (6) along predefined guides (19). Such generator means are constituted by a plurality of permanent magnets (15) carried by a load-bearing member (13) rotating around an axis (M, 57) thereof during said rotation and/or translation. A furnace with such stirrer device is also described and claimed.",20170629,PRESEZZI EXTRUSION S P A [IT],PRESEZZI VALERIO [CH],F27D  27/    00            A I
135,0.05041569360472917,WO2016122297A1,FUEL PUMP HAVING MONOLITHIC STRUCTURE,"The invention relates to a fuel drive pump, having a monolithic structure, for turbines of aircraft, comprising a pump body, wherein all the components are assembled to establish and control the pressure and flow in the pump, including an inlet port for supplying fuel at a controlled pressure, fuel return ports, fuel filter, pump rotor, port having an outlet pressure sensor, port having an inlet pressure sensor, pump cover having sealing system to maintain the pressure load, close the assembly and maintain the inlet pressure, pump impeller to establish the hydraulic outlet power, intermediate cap of the pump to regulate the pressure in the pump, and rotation arrow of the pump, having a hollow shaft for starting the driving of the system.",20160804,GARCIA DUARTE GEMMA CRISTINA [MX],GARCIA DUARTE GEMMA CRISTINA [MX],F02C   9/    26            A I
250,0.050315495666276897,WO2017120362A1,VALUE-BASED TV ADVERTISING AUDIENCE EXCHANGE,"Systems, methods and computer-readable media for a decentralized application system that enables participating parties to automate the buying and selling of TV media units and/or aggregated TV and premium video audiences is described. The value-based TV/premium video media exchange application system allows the participants to interact with the system directly and/or automate transactions and execution between systems, while ensuring proper governance over each participants own rules and economics associated with the transactions, as well as individual campaign constraints and requirements. The decentralized application system significantly lowers current transaction and execution barriers, timing and costs, while providing a highly accountable and trusted system across all of the exchange participants.",20170713,VISIBLE WORLD INC [US],HABERMAN SETH [US],G06Q  10/    00            A I;G06Q  30/    00            A I;G06Q  30/    02            A I
259,0.048020600865430835,WO2017120163A1,EARTH REMOVAL AND SAND MINING SYSTEM AND METHOD,"An earth removal and sand mining system is provided, comprising a modular floating platform having an elongated U-shaped open channel defining an operating area; a gantry positioned above the operating area, wherein the gantry includes a crane and trolley operable along a predefined path within the operating area; a hoist extending from the trolley; and a pump operatively suspended from the trolley, wherein the pump includes a slurry discharge hose. The platform includes an adjustable drag line connected to the pump to provide maximum control over the pump position for efficient operation.",20170713,CROSSWORKS LLC [US],CROSS LESLIE M [US],B63B  35/    58            A I;B63B  38/    00            A I;B63J   3/    04            A I;E02F   3/    88            A I;E02F   9/    06            A I;E02F   9/    10            A I;E02F   9/    22            A I
162,0.04776438094052876,WO0248420A2,METHOD FOR PRODUCING COMPONENTS WITH A HIGH LOAD CAPACITY FROM TIAL ALLOYS,"The invention relates to a method for producing components with a high load capacity from alpha + gamma TiAl alloys, especially for producing components for aircraft engines or stationary gas turbines. According to this method, enclosed TiAl blanks of globular structure are preformed by isothermal primary forming in the alpha + gamma - or alpha phase area. The preforms are then shaped out into components with a predeterminable contour by means of at least one isothermal secondary forming process, with dynamic recrystallization in the alpha + gamma - or alpha phase area. The microstructure is adjusted by solution annealing the components in the alpha phase area and then cooling them off rapidly.",20020620,THYSSEN KRUPP AUTOMOTIVE AG [DE],JANSCHEK PETER [DE],B22F   3/    02            A I;C22C  14/    00            A I;C22F   1/    00            A I;C22F   1/    02            A I;C22F   1/    18            A I
212,0.04697919163999539,WO2005002975A2,BOMB PROOF GARBAGE RECEPTACLE AND BAG INSERTION METHOD FOR A GARBAGE CAN,"A garbage can for controlling an explosive charge generating an explosive force having an outer shell having vertical walls and a bottom; an inner shell having vertical walls and a bottom; and a middle wall between the outer shell and inner shell and a first layer of compressible material between the outer shell and middle shell and a second layer of compression material between the middle shell and the inner shell. The first layer may be different from the second layer. There may be more than two middle walls and more than a first and second layer of compressible material. The material itself may different from one layer to the other. The inner wall may be shaped to direct the explosive force. There is a liner having a lesser weight. The inner wall comprises a peg extending into the interior of the can and the liner defines a slot for receiving the peg at a first location near the bottom and at a second location farther from the bottom so that the liner may be raised and lowered by changing the connection of the peg from the first location to the second location. The slot is defined by a reinforced layer or a hardened surface defining or attached to the slot. Preferably, the slot defines a bottom which is curved to direct the peg from the first location to the second location. A bag extending around the perimeter of the top of the linear and within are area defined interior to the perimeter top and the perimeter top defines a lip and wherein the can top perimeter defines a lip so that the bottom of the perimeter top contacts the lip of the can top.",20050113,GREEN W P [US],GREEN W P [US],B65D                       C I;B65D  90/    22            A I;B65F   1/    06            A I;B65F   1/    08            A I;B65F   1/    14            A I;B65F   1/    16            A I;F42B  39/    14            A I
220,0.04414439798516048,WO2004070311A2,DOUBLE EXPLOSIVELY-FORMED RING (DEFR) WARHEAD,"A warhead configuration for forming a hole through a wall of a target, the warhead configuration comprising a charge of explosive material and a liner. The charge has an axis and a front surface. The front surface includes two annular front surface portions, an inner and an outer annular portion, circumscribing the axis. Each of the annular front surface portions is configured so as to exhibit a concave profile as viewed in a cross-section through the charge parallel to the axis. The liner includes a first liner disposed adjacent to the inner annular portion and a second liner disposed adjacent to the outer annular portion such that, when the charge is detonated, material from the first liner is formed into a first expanding explosively formed ring and material from the second liner is formed into a second explosively formed ring.",20040819,RAFAEL ARMAMENT DEV AUTHORITY [IL],RITMAN ZEEV [IL],F42B   1/    02            A I
214,0.041142622049106514,WO03091184A2,TIN ALLOY SHEATHED EXPLOSIVE DEVICE,"A substantially lead-free tin alloy composition that may be used with sheathed explosive devices in a variety of linear explosive devices, such as ignition cords, mild detonating cords, and linear shaped charges. The tin alloy may also be used as a liner for shaped explosive devices.",20031106,UNIVERSAL PROPULSION CO [US],HANNAGAN HAROLD W,C06C   5/    04            A I;F42B   1/   032            A I;F42B   3/    28            A I
103,0.04093514841771175,WO2013093443A1,A TENSIONING APPARATUS,"The present invention provides an apparatus and kit for tensioning a stud in a bolted joint to a desired preload, the apparatus comprising a locking means adapted for engagement with the stud, a removable bridge member arranged to at least partially enclose the locking means and to receive the stud therethrough, a removable actuator operable to actuate the locking means through the bridge member and removable tensioning means configured to apply tension to a load bearing surface of the bridge member so as to transfer tension to the stud, such that the actuator is operable to lock the locking means when the desired preload in the stud is achieved. The invention has application in many industries, including hydropower, wind, gas and steam turbines, nuclear, metal manufacturing, mining, shipbuilding and oil & petrochemical.",20130627,CENEY DAVID [GB],CENEY STAN [GB],B25B  29/    02            A I
186,0.04091319540733095,WO2013188281A1,UTILIZATION OF SPHEROIDIZED TUNGSTEN IN SHAPED CHARGE SYSTEMS,"A shaped charge includes a casing, a liner disposed within an opening of the casing and an explosive disposed between the casing and the liner. The liner is made of a metal powder blend that includes a spheroidized metal powder. The spheroidized metal powder includes a spheroidized tungsten powder. The metal powder blend may further include a binder and a lubricant. The binder includes copper or lead. The lubricant includes graphite.",20131219,SCHLUMBERGER CA LTD [CA],ANDRZEJAK TIMOTHY A [US],F42D   1/    24            A I;E21B  43/   116            A I
32,0.04054561467687418,WO2016037122A1,ZINC ONE PIECE LINK SYSTEM,"A link jet system using a combination of a one piece cast zinc alloy case and interlocking linked shaped charges for minimizing debris left in a downhole wellbore when fired, reducing components in system, and providing an easy method for changing the shaped charge phase.",20160310,HUNTING TITAN INC [US],COLLINS WILLIAM R [US],E21B  43/    17            A I
264,0.03787050197956721,WO2017120118A1,HELMET WITH BOUNDARY NUB AND ELASTOMER RETAINERS,"A protective helmet for rotational energy management may include an outer protective shell including an outer surface and an inner surface, a portion of which may be spherically shaped. An inner protective shell may be disposed within the outer protective shell and include a spherically shaped outer surface oriented towards the inner surface of the outer protective shell. A surface area of the outer surface of the inner protective shell may be less than a surface area of the inner surface of the outer protective shell. A first elastomer member may extend through a first channel through the outer protective shell and the inner protective shell. A boundary nub may include a spherical shape and be integrally formed with the inner protective shell at a front lower edge of the inner protective shell.",20170713,BELL SPORTS INC [US],ALLEN SCOTT R [US],A42B   3/    04            A I
