,Frequency,Pnumber,Abstract
18,19.607843137254907,WO2008029339A2,A process for producing an ammonium nitrate fuel oil (ANFO) explosive includes admixing an oil with water to form a fuel comprising an emulsion. The emulsion is admixed with solid particulate ammonium nitrate. The emulsion is absorbed into the ammonium nitrate to form the ANFO explosive.
7,19.444444444444443,WO2012047333A2,This invention relates to novel salt compositions and to explosive compositions comprising said salt compositions. The salt compositions are useful as emulsifiers in the explosive compositions. The explosive compositions are water-in-oil emulsion explosives.
8,18.57142857142857,WO2011036611A1,The invention relates to a process for producing an ammonium nitrate/fuel oil explosive. The process includes forming an emulsion by admixing an oil with water. Ozone is then introduced into the emulsion to obtain an ozonated emulsion. The ozonated emulsion is admixed with solid particulate ammonium nitrate such that the emulsion is absorbed into the ammonium nitrate. An ammonium nitrate/fuel oil explosive is thereby formed.
0,16.3265306122449,WO2016065412A1,"Disclosed herein is an explosive composition for soft and wet ground. The explosive composition comprises an explosive comprising an oxidiser component in a water in oil emulsion or a water gel, and a bulking agent comprising discrete particles of a combustible substance. The combustible substance is water soluble but, in the explosive composition, migration of the combustible substance from the discrete particles to the oxidiser component is inhibited. Also disclosed is a method for delivering an explosive composition to a borehole, for example a borehole in soft and wet ground."
10,16.071428571428573,WO9730955A1,Provided is a two phase emulsion which is useful in preparing explosive compositions. The two phase emulsion is comprised of a blend of two water in oil emulsions. The two phase emulsion is comprised of a continuous oil matrix in which ammonium nitrate micelles and water micelles both exist separately in stable fashion.
12,16.05839416058394,WO8902881A1,"Methods and compositions for providing an emulsified gassing agent for use in sensitizing emulsion explosive compositions. The emulsified gassing agent is preferably a water-in-oil emulsion such that it is easily combinable with water-in-oil explosive emulsion compositions. The emulsified gassing agent and the emulsion explosive can be kept separate until the point in time immediately prior to introduction into the blasting site. The emulsified gassing agent will contain a gassing agent which releases gas when placed in contact with the emulsion explosive composition. One preferred gassing agent is sodium nitrite, but other gassing agents are also usable. The emulsion may also comprise a companion salt such as calcium or sodium nitrate, a vehicle such as No. 2 diesel oil, a surfactant, and a carrier such as water."
16,13.461538461538463,WO9102706A1,"A W/O emulsion explosive composition having a high explosion energy especially in water, which comprises a continuous phase comprising a carbonaceous fuel component, a disperse phase comprising an aqueous solution of an inorganic oxoacid salt, an emulsifying agent, an organic foam retaining agent, and aluminum powder."
6,13.125,WO2013056631A1,"Disclosed are a low-carbon environmental emulsion explosive and a preparation device for oxidant salt aqueous solution. The emulsion explosive is prepared by sensitizing an emulsion matrix with a sensitization liquid, and the emulsion matrix is prepared by emulsifying oxidant salt aqueous solution and oil phase, wherein the components of the oxidant salt aqueous solution are ammonium nitrate, thiourea and water, and the oil phase is composed of paraffin oil or engine oil, and emulsifier, and the sensitization liquid consists of sodium nitrite, sodium thiocyanate or sodium bicarbonate, and water. The emulsion explosive in this invention not only economizes packaging materials, and relatively reduces carbon dioxide emissions, but also simplifies the formula, and effectively reduces the toxic gas generation. The quantity of the involved toxic gas emission is around 20L/kg. And the emulsion explosive can be transported freely, and is not affected by charging."
17,12.745098039215687,WO03053884A1,"A water-in-oil emulsion explosive characterized by containing an ethylene/vinyl acetate copolymer. It has excellent long-term stability. Even when stored under a load for as long as about one year, the explosive is less apt to suffer a decrease in explosive performance and coagulates only slightly in such a degree that it comes to have weakly coherent partial coagulates which can be easily disaggregated. Even after long-term storage, charging with the explosive can be easily conducted with a charger. Since the explosive has excellent water resistance, it is suitable also for blasting in a water hole.A water−in−oil emulsion explosive characterized by containing an ethylene/vinyl acetate copolymer. It has excellent long−term stability. Even when stored under a load for as long as about one year, the explosive is less apt to suffer a decrease in explosive performance and coagulates only slightly in such a degree that it comes to have weakly coherent partial coagulates which can be easily disaggregated. Even after long−term storage, charging with the explosive can be easily conducted with a charger. Since the explosive has excellent water resistance, it is suitable also for blasting in a water hole."
23,12.698412698412698,WO2009000915A2,A detonator sensitive explosive emulsion composition includes an oxidizing phase including a supersaturated solution of ammonium nitrate and a fuel phase including sufficient emulsifying agent to permit dispersion of the oxidizing phase in the fuel phase. The detonator sensitive explosive emulsion composition further includes a crystallization temperature depressant consisting essentially of at least one of an amine and an amine nitrate.
