,PCA Score,Pn,Title,Abstract,Date,Applicant,Inventor,IPC
52,0.14767534516322073,WO2013125975A1,DETONATOR CAPSULE,"What is proposed is: a detonator capsule comprising a casing, in which are arranged an ignition charge, a primary explosive and a secondary explosive, which are arranged in such a way that the ignition charge ignites the primary explosive, from which in turn the secondary explosive is detonated, an electronic delay timer for the ignition of the primary explosive and an explosion initiation means, which is connected to said delay means for the ignition of the primary explosive, wherein the explosion initiation means comprises a shock tube, one end of which is fixed in the inlet part of said casing, a cylindrical case which is mounted coaxially to the shock tube and is directed with the inlet into the cavity of said case pointing in the direction of said shock tube, wherein a magnetic armature is mounted in the cavity of said cylindrical case in such a way as to be capable of moving along the axis of said cylindrical case, and on the outside said cylindrical case surrounds an induction coil.",20130829,BOGDAN ALEKSANDR STEPANOVICH [RU],BOGDAN ALEKSANDR STEPANOVICH [RU],F42B   3/    16            A I;F42C  19/    12            A I
107,0.10375551025243178,WO2012013839A1,LID FOR GLASS BOTTLES,"Lid for glass bottles, preferably made of metal, or any other type of suitable plastic material, comprising a body (1) with a skirt or external flange (2) that is segmented by conical slits, characterized in that said flange (2) has a plurality of longitudinal conical grooves transverse to the axis of the lid and running around the periphery of the flange (2), and designed to ensure a snug fit thereof over the external surface of the lip (4) of the neck (3) of the bottle to be sealed. The body (1) has a concentric annular V-shaped rib (5) that fits tightly against the internal contour of the mouth of the bottle neck (3), which has a liner (7), said rib (5) defining an upwardly-domed surface (6).",20120202,CLIPPS ALUMINIUM SYSTEMS S L [ES],MARTINEZ RAMIREZ VICENTE [ES],B65D  41/    16            A I;B65D  41/    00            A I;B65D  41/    14            A I;B65D  41/    18            A I
22,0.09639400526657116,WO2016001850A1,A SHELL FOR USE IN BLASTING,"A shell for use in blasting, the shell comprising an elongated body, the elongated body having a distal end arranged for housing an explosive material, a proximal end arranged to permit introduction of at least one detonator into an interior of the shell, and a cavity for holding the at least one detonator in a location in which operation of the detonator results in explosion of the explosive material, wherein a slot is provided in a sidewall of the shell to allow an activation lead connected to the detonator to pass through the slot to an exterior of the shell, and wherein the slot includes at least one retaining protrusion to retain the activation lead against withdrawal of the activation lead from the slot.",20160107,ORICA INT PTE LTD [SG],BOOS THOMAS [DE],F42B   3/    26            A I;F42B   3/    10            A I;F42D   3/    04            A I
143,0.0871623720657054,WO9419255A1,CONTAINER SYSTEM AND BAG ASSEMBLY,"The invention discloses a bag assembly (18) for insertion into a cylindrical container with a top portion (12). The bag assembly (18) has an outwardly flanged support fitting (30) secured to the mouth of a plastic liner (19). The bag assembly is folded pleatwise to provide a folded bag unit (66) which can be inserted into a dispensing opening (24) in the top portion of the container. The folded pleatwise bag assembly is retained by a retention means which will break on filling the bag assembly. The flanged support fitting (30) further comprises an air outflow passage (48), one or more external lugs (42), and an internal thread to receive a bung. The support fitting is secured to the container wall forming the dispensing opening by a cap (40) which may have a hinged closure member (90).",19940901,ANATOL NOMINEES PTY LTD [AU],TKATCHENKO TOLIK [AU],B65D  25/    16            A I;B65D  75/    58            A I
18,0.07762643277540748,WO2016070246A1,SHELL,"A shell for use in blasting, the shell comprising an elongated body, the elongated body having a distal end arranged for housing an explosive material, a proximal end arranged to permit introduction of at least one detonator into an interior of the shell, and a 5 cavity for holding the at least one detonator in a location in which operation of the detonator results in explosion of the explosive material, wherein the shell includes a track for running a detonator activation lead, and a retaining formation for holding said activation lead.",20160512,ORICA INT PTE LTD [SG],AUSTIN AARON [US],F42B   3/    00            A I;F42D   3/    00            A I
172,0.07635202872240561,WO2017120380A1,KNIT HAT HAVING INTEGRATED SWEATBAND,"A knit cap having a generally domed knitted crown and a sweatband having front and back arcuate portions attached to an interior surface of the knitted cap by stitching the front arcuate portion of the sweatband to a front portion of the crown, and by further stitching the back arcuate portion of the sweatband to a back portion of the crown, the sweatband having no stitching or other attachment to the crown at first and second side portions of the knitted cap.",20170713,NEW ERA CAP CO INC [US],FORESTA MARIO E S [US],A42B   1/    04            A I;A42B   1/    06            A I;A42C   5/    02            A I
115,0.07143595005749855,WO2004108541A2,REINFORCING CLIP FOR A CORRUGATED SLEEVE,"A plastic reinforcing clip for use with a container of the type including a corrugated sleeve adapted to be removably attached to a plastic pallet or base member by the use of sliding latch members coacting with circular apertures in the lower peripheral edge portion of the sleeve. The reinforcing clip structure is formed of a single piece of molded plastic material and includes an outer annular planar portion, an inner annular planar portion, an outer cup-shaped liner portion, an inner cup-shaped liner portion, and a central hinge portion. In use, the central hinge portion is positioned under and along the lower edge of the sleeve beneath an aperture in the sleeve and the inner and outer planar portions are swung upwardly about live hinges provided between the hinge portion and the inner and outer planar portions.; As the inner and outer planar portions are swung upwardly and inwardly, the cup-shaped liner portions enter the slot from the inner and outer faces of the sleeve. A circular annular wall section of the outer liner portion is seated within and engages an outer annular portion of the circular aperture edge with a planar base section of the liner portion positioned centrally within the aperture and a circular annular wall section of the inner liner portion is seated within and engages an inner annular portion of the circular aperture with a planar base section of the inner liner portion abutting the base section of the outer liner portion. The abutting planar base sections are suitably secured together as by stabling to fixedly secure the clip on the sleeve to preclude damage to the sleeve in response to repeated actuation of the latch members.",20041216,SHUERT LYLE H [US],SHUERT LYLE H [US],B65D  19/    00            A I;B65D  19/    20            A I
19,0.06680923750906811,WO2016062155A1,ARRAY MULTI-POINT SET EXPLOSION-TYPE PULSE DETONATION ENGINE,"An array multi-point set explosion-type pulse detonation engine consists of a plurality of detonation tubes (3), a consolidating detonation chamber (2), an inlet control valve (1), a tail jet (4), a fuel auxiliary mixer (5) and a controller (15). The consolidating detonation chamber is a chamber provided with arrays of detonation tubes. The detonation tubes are provided opposite each other and arranged toward the tail jet at an angle. The detonation tubes consist of a ring-shaped multi-point ignition electrode (11), a detonation chamber (10), a detonation jet (12), a rotary mixing valve (9), a fixed-angle electric rotating machinery (8) and connecting conduits (14). A direct detonation liquid or colloid fuel mixed with a cartridge, explosive ingredients, a thickener and gunpowder and an oxidizing agent are adopted, and therefore the stability is improved and fuel waste is reduced by using the detonation engine.",20160428,ZHAO QINGTANG [CN],ZHAO QINGTANG [CN],F02K   7/    04            A I;F02K   9/    62            A I
124,0.06590989095146498,WO2004052133A2,CUSTOM FITTED HELMET AND METHOD OF MAKING THE SAME,"A helmet that is custom-fitted to a wearer's head, and a method of making the helmet, are provided. The method includes the steps of positioning a shape-forming means over the wearer's head, and hardening the shape-forming means to provide a hardened headform that substantially conforms to the shape of the wearer's head. The shape-forming means can be a stretchable beanie cap that is coated or impregnated with a curable polymeric material, a heat-softenable plastic sheet, or a strip or plurality of strips of curable tape that are wrapped about the wearer's head to provide a headwrap. Once the hardened headform has been made, it can be used to cast a hardened plaster fixture for use as the ""male"" member in a mold for casting an energy absorbing foam liner for a helmet which has an inner surface substantially conforming to the shape of the wearer's head. Alternatively, the hardened headform can itself be used as the ""male"" member of the liner casting mold.",20040624,CUSTOM FIT HELMETS LLC [US],MOORE DAN T III,A42B   3/    12            A I;A42C   2/    00            A I;B29C  33/    38            A I;B29C  44/    12            A I
1,0.06275358625373964,WO9706402A2,METHOD AND APPARATUS FOR CONTROLLED SMALL-CHARGE BLASTING OF HARD ROCK AND CONCRETE BY EXPLOSIVE PRESSURIZATION OF THE BOTTOM OF A DRILL HOLE,"Rock and other hard materials, such as concrete, are fragmented by a controlled small-charge blasting process. The process is accomplished by pressurizing the bottom of a drill hole in such a way as to initiate and propagate a controlled fracture or propagate any pre-existing fractures near the hole bottom. A cartridge containing an explosive charge is inserted at the bottom of a short hole drilled in the rock. The explosive charge is configured to provide the desired pressure in the hole bottom, including, if desired, a strong shock spike at the hole bottom to enhance microfracturing. The cartridge is held in place or stemmed by a massive stemming bar of high-strength material such as steel. The explosive can be initiated in a variety of ways including by a standard electric blasting cap. The cartridge incorporates additional internal volume designed to control the application of pressure in the bottom hole volume by the detonating explosive. The primary method by which the high-pressure gases are contained in the hole bottom until relieved by the opening up of controlled fractures, is by the massive inertial stemming bar which blocks the flow of gas up the drill hole except for a small leak path between the stemming bar and the drill hole walls. This small leakage can be further reduced by design features of the cartridge and of the stemming bar. The stemming bar is preferably connected to a boom mounted on a carrier. A preferred embodiment incorporates an indexing mechanism to allow both a drill and a small-charge blasting apparatus to be used on the same boom for drilling and subsequent charge insertion and firing operations. The major features of the method and apparatus are the relatively low-energy of the flyrock and the relatively small amount of explosive required to break the rock.",19970220,BOLINAS TECH INC [US],WATSON JOHN DAVID [US],E21B  43/   117            A I;E21C  37/    16            A I;F42B   3/    00            A I;F42B   3/    22            A I;F42D   1/    00            A I;F42D   1/    08            A I;F42D   3/    00            A I;F42D   3/    04            A I
